Year,City,% All Families,% With related children of householder under 18 years,% Householder worked,% Householder 65 years and over,% less than high school graduate,% High school graduate,"% Some college, associate degree",% Bachelor's degree or higher,% No related children under 18,% 1-2 related children under 18 ,% 3-4 related children under 18,% 5 or more related children under 18,% No own children under 18,% 1-2 own children under 18 ,% 3-4 own children under 18,% 5 or more own children under 18,% Family size 2,% Family size 3-4,% Family size 5-6,% Family size more than 7,% No workers in Family,% 1 workers in Family,% 2 workers in Family,% 3 or more workers in Family,% Owner occupied,% Renter occupied
2015,Alameda,5.2,5.7,3.1,2.6,16.2,13.3,6.1,2.2,4.6,5.8,5.6,-,4.2,6.2,6.4,-,6.1,3.6,9.4,7.8,17.1,5.0,2.9,2.7,1.3,9.1
2015,Alhambra,11.8,15.3,7.0,17.7,23.8,19.2,8.1,4.0,9.4,16.3,5.7,-,10.5,14.9,6.8,-,8.2,15.3,6.2,0.0,34.0,17.5,4.3,0.0,6.5,16.6
2015,Anaheim,11.8,17.3,9.4,4.2,19.7,15.0,8.3,5.5,4.7,11.2,36.9,28.3,4.9,13.2,37.0,60.9,7.8,12.6,17.7,6.6,30.5,20.7,7.3,1.3,3.1,19.6
2015,Antioch,11.8,17.3,7.6,5.3,31.8,17.6,6.2,7.1,4.1,18.5,13.9,12.9,3.6,21.0,12.8,12.9,14.6,13.6,5.9,3.0,38.9,15.8,2.1,0.0,5.0,21.9
2015,Apple Valley,19.3,26.4,16.7,4.0,39.7,21.9,18.6,1.2,12.4,13.7,46.2,92.2,11.7,17.7,50.0,92.2,12.8,17.0,28.6,71.6,28.4,24.7,5.4,5.6,8.5,39.3
2015,Arden-Arcade,13.8,19.9,10.4,5.2,49.3,17.1,14.0,3.9,8.9,16.2,37.5,100.0,9.7,15.3,37.5,100.0,13.8,11.2,23.6,100.0,24.1,20.3,4.1,0.0,1.7,25.9
2015,Bakersfield,14.3,19.3,9.2,4.0,31.5,16.0,12.0,2.2,7.1,14.3,31.7,39.0,7.9,14.4,34.0,39.0,10.9,12.9,22.8,15.1,42.2,20.1,3.3,4.2,6.5,27.3
2015,Baldwin Park,14.4,21.5,9.9,3.4,18.5,23.8,3.2,0.0,6.4,15.3,29.9,68.1,6.6,18.1,34.7,83.7,10.7,12.7,16.9,24.4,44.3,22.4,5.0,1.0,4.0,28.4
2015,Bellflower,10.9,16.6,8.3,9.8,18.6,11.9,6.7,8.1,1.8,12.3,28.5,0.0,3.3,18.3,19.0,0.0,2.8,8.0,21.6,15.2,36.5,13.6,4.5,0.0,3.9,16.2
2015,Berkeley,4.4,5.7,3.2,2.5,20.1,4.2,13.7,2.0,3.2,3.7,37.4,-,3.2,3.8,40.5,-,4.8,2.9,17.3,0.0,19.4,5.1,1.2,3.2,0.6,10.7
2015,Buena Park,13.0,18.5,9.1,0.0,21.1,10.1,12.6,10.8,6.4,10.9,42.7,0.0,5.5,12.4,50.8,0.0,4.9,11.6,30.9,0.0,20.8,24.0,2.9,1.2,6.0,21.0
2015,Burbank,9.0,13.9,7.6,7.5,17.1,25.8,8.0,2.9,4.2,14.2,12.3,0.0,5.1,13.8,12.7,-,6.7,10.3,14.3,0.0,19.6,12.4,2.9,14.0,1.6,15.3
2015,Camarillo,5.4,11.5,2.7,1.8,33.3,2.2,3.4,2.5,1.0,6.1,26.3,79.7,2.6,3.9,24.4,100.0,N,N,N,N,16.7,4.1,2.1,0.0,1.9,13.6
